"","Title","Prod_year","Is_sequel","Run_time","Creative_type","Source","Prod_method","Genre","Prod_budget","Dom_BO","Intl_BO","Total_BO","Infl_Adj_Dom_BO","MPAA_rating","Rel_date_TH","Keywords","Prod_company","Opening_rev","Opening_theaters"
"1","Billy Jack",1971,0,112,"Contemporary Fiction","Original Screenplay","Live Action","Western",800000,98000000,0,9.8e+07,528606057,"GP",1971-01-01,NA,NA,0,0
"2","The Andromeda Strain",1971,0,131,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",6500000,12376563,0,12376563,66758428,"G",1971-01-01,NA,NA,0,0
"3","Escape from the Planet of the Apes",1971,0,NA,"Science Fiction",NA,NA,NA,2500000,12300000,0,12300000,66345451,NA,1971-01-01,NA,NA,0,0
"4","Sweet Sweetback's Baad Asssss Song",1971,0,NA,NA,NA,NA,NA,150000,15200000,0,15200000,81987877,NA,1971-01-01,"Sweet Sweetback's Baad Asssss Song - Black Urban",NA,0,0
"5","Fiddler on the Roof",1971,0,NA,"Historical Fiction","Based on Musical or Opera","Live Action","Musical",9000000,80500000,0,80500000,430926839,"G",1971-01-01,"Fiddler on the Roof - Religious",NA,0,0
"6","Bananas",1971,0,NA,NA,"Original Screenplay","Live Action","Comedy",2000000,0,0,0,0,"PG-13",1971-04-28,NA,NA,0,0
"7","Willy Wonka & the Chocolate Factory",1971,0,NA,NA,NA,NA,NA,3000000,4000000,0,4e+06,21575754,NA,1971-06-30,"Willy Wonka & the Chocolate Factory - Spoiled Child",NA,0,0
"8","The French Connection",1971,0,104,"Contemporary Fiction","Based on Factual Book/Article","Live Action","Drama",2200000,41158757,0,41158757,222007839,NA,1971-10-09,"The French Connection - Film Noir",NA,0,0
"9","Diamonds Are Forever",1971,1,120,NA,"Based on Fiction Book/Short Story","Live Action","Action",7200000,43800000,72200000,1.16e+08,236254541,"GP",1971-12-17,"Diamonds Are Forever - Secret Agent",NA,0,0
"10","Conquest of the Planet of the Apes",1972,0,NA,NA,NA,NA,NA,1700000,9700000,0,9700000,50782350,NA,1972-01-01,NA,NA,0,0
"11","The Godfather",1972,0,175,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",7000000,134966411,133533589,268500000,280898614,"R",1972-03-15,"The Godfather - Mafia",NA,302393,6
"12","Frenzy",1972,0,116,NA,"Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",3500000,12600000,0,12600000,65964700,NA,1972-06-21,NA,NA,0,0
"13","Deep Throat",1972,0,NA,NA,NA,NA,NA,25000,45000000,0,4.5e+07,235588233,NA,1972-06-30,NA,NA,0,0
"14","Everything You Always Wanted to Know",1972,0,NA,NA,"Based on Fiction Book/Short Story","Live Action","Comedy",2000000,18016290,0,18016290,94320571,NA,1972-08-11,"Everything You Always Wanted to Know - Same Actor, Multiple Roles",NA,0,0
"15","The Last House on the Left",1972,0,NA,NA,NA,NA,NA,87000,3100000,0,3100000,16229408,"R",1972-08-30,"The Last House on the Left - Sex Crimes",NA,0,0
"16","1776",1972,0,142,"Historical Fiction","Based on Play","Live Action","Musical",4000000,0,0,0,0,"PG",1972-11-09,NA,NA,0,0
"17","Battle for the Planet of the Apes",1973,1,NA,"Science Fiction",NA,NA,NA,1800000,8800000,0,8800000,44248584,NA,1973-01-01,NA,NA,0,0
"18","Pat Garrett and Billy the Kid",1973,0,NA,NA,NA,NA,NA,4638783,8000000,3000000,1.1e+07,40225989,"R",1973-05-23,NA,NA,0,0
"19","Live and Let Die",1973,1,121,NA,"Based on Fiction Book/Short Story","Live Action","Action",7000000,35400000,126400000,161800000,1.78e+08,"PG",1973-06-27,"Live and Let Die - Secret Agent",NA,0,0
"20","American Graffiti",1973,0,112,"Contemporary Fiction","Original Screenplay","Live Action","Drama",777000,115000000,25000000,1.4e+08,578248584,"PG",1973-08-11,"American Graffiti - Street Racing",NA,0,0
"21","High Plains Drifter",1972,0,NA,"Historical Fiction","Original Screenplay","Live Action","Western",5500000,15700000,0,15700000,78943498,"Not Rated",1973-08-22,"High Plains Drifter - Film Noir",NA,0,0
"22","Sleeper",1973,0,NA,NA,"Original Screenplay","Live Action","Comedy",2000000,18344729,0,18344729,92241852,NA,1973-12-17,"Sleeper - Cloning",NA,0,0
"23","Viskningar och rop",1972,0,0,"Historical Fiction","Original Screenplay","Live Action","Drama",400000,0,9400,9400,0,NA,1973-12-19,NA,NA,0,0
"24","The Sting",1973,0,129,"Historical Fiction","Original Screenplay","Live Action","Comedy",5500000,159616327,0,159616327,802590564,"PG",1973-12-25,"The Sting - Gambling",NA,0,0
"25","The Exorcist",1973,0,121,"Fantasy","Based on Fiction Book/Short Story","Live Action","Horror",12000000,202347346,197867132,400214478,891206155,"R",1973-12-26,"The Exorcist - Possessed",NA,0,0
"26","Blazing Saddles",1974,0,93,"Historical Fiction","Original Screenplay","Live Action","Comedy",2600000,119500000,0,119500000,568743313,"R",1974-02-07,"Blazing Saddles - Spoof",NA,0,0
"27","The Great Gatsby",1974,0,144,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",7000000,26533200,0,26533200,126281005,NA,1974-03-29,NA,NA,0,0
"28","The Conversation",1974,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",1600000,4420000,0,4420000,21036360,NA,1974-04-07,NA,NA,0,0
"29","The Texas Chainsaw Massacre",1974,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Horror",140000,26572439,0,26572439,126467754,"R",1974-10-18,"The Texas Chainsaw Massacre - Cannibalism",NA,0,0
"30","Benji",1974,0,NA,NA,"Original Screenplay","Live Action","Adventure",500000,31559560,0,31559560,150203253,NA,1974-11-15,"Benji - Animal Lead",NA,0,0
"31","The Godfather: Part II",1974,1,NA,"Historical Fiction",NA,NA,NA,13000000,57300000,0,57300000,272711228,"R",1974-12-11,"The Godfather: Part II - Mafia",NA,0,0
"32","Young Frankenstein",1974,0,106,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Comedy",2800000,86300000,0,86300000,410732615,"PG",1974-12-15,"Young Frankenstein - Monster","Fiery Angel",0,0
"33","Towering Inferno",1974,0,165,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",14000000,116000000,23700000,139700000,552085557,"PG",1974-12-17,"Towering Inferno - Disaster",NA,2323621,295
"34","The Front Page",1974,0,NA,"Contemporary Fiction","Based on Play","Live Action","Comedy",4000000,15000000,0,1.5e+07,71390371,NA,1974-12-17,NA,NA,0,0
"35","The Man with the Golden Gun",1974,1,125,NA,"Based on Fiction Book/Short Story","Live Action","Action",7000000,21000000,76600000,97600000,99946519,"PG",1974-12-20,"The Man with the Golden Gun - Secret Agent",NA,0,0
"36","Barry Lyndon",1975,0,NA,NA,"Based on Fiction Book/Short Story","Live Action","Drama",11000000,20000000,169934,20169934,86829263,NA,1975-01-01,NA,NA,0,0
"37","Death Race 2000",1975,0,NA,"Science Fiction","Based on Fiction Book/Short Story",NA,NA,300000,0,0,0,0,"R",1975-04-01,"Death Race 2000 - Street Racing",NA,0,0
"38","Monty Python and the Holy Grail",1975,0,NA,"Fantasy","Original Screenplay","Live Action","Comedy",400000,3427696,1601252,5028948,5376873,NA,1975-05-10,"Monty Python and the Holy Grail - Same Actor, Multiple Roles",NA,0,0
"39","The Return of the Pink Panther",1975,1,113,NA,NA,NA,"Comedy",5000000,41833347,0,41833347,181617939,NA,1975-05-16,NA,NA,0,0
"40","Love and Death",1975,0,NA,NA,"Original Screenplay","Live Action","Comedy",3000000,20123742,0,20123742,87366485,NA,1975-06-10,NA,NA,0,0
"41","Jaws",1975,0,124,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Horror",12000000,260000000,210700000,470700000,1128780485,"PG",1975-06-20,"Jaws - Animals Gone Bad","Universal Pictures",7790627,409
"42","The Rocky Horror Picture Show",1975,0,98,"Fantasy","Based on Musical or Opera","Live Action","Musical",1200000,1054845,194095,1248940,148406477,"R",1975-09-26,"The Rocky Horror Picture Show - Midnight Movie",NA,21245,2
"43","One Flew Over the Cuckoo's Nest",1975,0,133,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",4400000,108981275,0,108981275,473138213,"R",1975-11-19,NA,NA,99761,4
"44","Network",1976,0,NA,NA,"Original Screenplay","Live Action","Drama",3800000,23689877,0,23689877,98985862,NA,1976-01-01,"Network - News",NA,0,0
"45","Logan's Run",1976,0,NA,"Science Fiction",NA,NA,NA,7000000,25000000,0,2.5e+07,104460092,NA,1976-01-01,NA,NA,0,0
"46","The Blue Bird",1976,0,NA,"Fantasy","Based on Play",NA,NA,1200000,887000,0,887000,3706236,NA,1976-01-01,NA,NA,0,0
"47","Taxi Driver",1976,0,113,"Contemporary Fiction","Original Screenplay","Live Action","Drama",1000000,28262574,53637,28316211,117272657,"R",1976-02-08,"Taxi Driver - Film Noir",NA,0,0
"48","Robin and Marian",1976,0,NA,NA,NA,NA,NA,5000000,8000000,0,8e+06,33427225,NA,1976-03-11,NA,NA,0,0
"49","Family Plot",1976,0,121,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Black Comedy",3000000,13200000,0,13200000,55154929,NA,1976-04-09,NA,NA,0,0
"50","The Omen",1976,0,NA,NA,"Original Screenplay","Live Action","Horror",2800000,48570885,0,48570885,202948765,NA,1976-06-25,"The Omen - Religious",NA,4273886,515
"51","Silent Movie",1976,0,NA,NA,"Original Screenplay","Live Action","Comedy",4400000,36145695,0,36145695,151031300,NA,1976-06-25,"Silent Movie - Gratuitous Cameos",NA,0,0
"52","Carrie",1976,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Horror",1800000,25878153,0,25878153,108129366,NA,1976-11-16,NA,NA,0,0
"53","Rocky",1976,0,119,"Contemporary Fiction","Original Screenplay","Live Action","Drama",1000000,117235147,107764853,2.25e+08,489855778,"PG",1976-11-21,"Rocky - Boxing",NA,0,0
"54","King Kong",1976,0,NA,"Science Fiction","Remake","Live Action","Action",23000000,52614445,38000000,90614445,219844391,"PG",1976-12-17,"King Kong - Animals Gone Bad",NA,7023921,974
"55","Kingdom of the Spiders",1977,0,NA,NA,NA,NA,NA,500000,17000000,0,1.7e+07,67847530,NA,1977-01-01,"Kingdom of the Spiders - Animals Gone Bad",NA,0,0
"56","Eraserhead",1977,0,89,"Science Fiction","Original Screenplay","Live Action","Horror",100000,7000000,12524,7012524,27937216,"Not Rated",1977-01-01,"Eraserhead - Cult Movie",NA,0,0
"57","Annie Hall",1977,0,NA,NA,"Original Screenplay","Live Action","Comedy",4000000,38251425,0,38251425,152662635,NA,1977-04-20,"Annie Hall - Breaking the Fourth Wall",NA,0,0
"58","A Bridge Too Far",1977,0,176,NA,"Based on Fiction Book/Short Story","Live Action","Action",26000000,50800000,0,50800000,202744394,"PG",1977-06-15,"A Bridge Too Far - Historical Battles",NA,0,0
"59","Exorcist II: The Heretic",1977,0,NA,NA,NA,"Live Action","Horror",14000000,25011000,0,25011000,99819686,NA,1977-06-17,"Exorcist II: The Heretic - Possessed",NA,0,0
"60","New York, New York",1977,0,NA,NA,"Original Screenplay","Live Action","Musical",14000000,13800000,0,13800000,55076226,NA,1977-06-22,"New York, New York - Film Noir",NA,0,0
"61","Sorcerer",1977,0,121,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Adventure",21600000,12000000,5968,12005968,47892369,"PG",1977-06-24,"The Sorcerer - Film Noir",NA,0,0
"62","The Spy Who Loved Me",1977,1,125,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",14000000,46800000,138600000,185400000,186780268,NA,1977-07-13,"The Spy Who Loved Me - Secret Agent",NA,1347927,194
"63","March or Die",1977,0,NA,NA,NA,NA,NA,7000000,1000000,0,1e+06,3991027,NA,1977-08-05,NA,NA,0,0
"64","The Kentucky Fried Movie",1977,0,NA,NA,"Original Screenplay","Live Action","Comedy",600000,15000000,5000000,2e+07,59865467,NA,1977-08-10,NA,NA,0,0
"65","Damnation Alley",1977,0,NA,NA,NA,NA,NA,17000000,0,0,0,0,NA,1977-10-21,"Damnation Alley - World War III",NA,0,0
"66","Close Encounters of the Third Kind",1977,0,134,"Science Fiction","Original Screenplay","Live Action","Adventure",20000000,169100479,171700000,340800479,665611678,"PG",1977-11-16,"Close Encounters of the Third Kind - Friendly Alien on Earth","Columbia Pictures",0,0
"67","High Anxiety",1977,0,NA,NA,NA,NA,NA,3400000,31063038,0,31063038,123973556,NA,1977-12-23,"High Anxiety - Spoof",NA,0,0
"68","The Boys from Brazil",1978,0,NA,NA,"Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",12000000,19000000,0,1.9e+07,72264956,NA,1978-01-01,"The Boys from Brazil - Cloning",NA,0,0
"69","Caravans",1978,0,NA,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Adventure",14000000,1000000,0,1e+06,3803415,NA,1978-01-01,NA,NA,0,0
"70","Coming Home",1978,0,119,"Historical Fiction","Original Screenplay","Live Action","Drama",3000000,32653000,0,32653000,124193030,NA,1978-01-01,"Coming Home - Returning Soldiers",NA,0,0
"71","F.I.S.T",1978,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",11000000,20388920,0,20388920,77547596,NA,1978-04-13,NA,NA,0,0
"72","Jaws 2",1978,1,116,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Horror",20000000,102922376,105978000,208900376,391456897,"PG",1978-06-16,"Jaws 2 - Animals Gone Bad",NA,9866023,640
"73","Heaven Can Wait",1978,0,101,"Fantasy","Based on Play","Live Action","Comedy",15000000,98800000,0,98800000,375777776,"PG",1978-06-28,"Heaven Can Wait - Football",NA,3652486,540
"74","Star Wars Ep. IV: A New Hope",1977,0,119,"Science Fiction","Original Screenplay","Live Action","Adventure",11000000,460998007,325600000,786598007,1462547636,"PG",1978-07-21,"Star Wars Ep. IV: A New Hope - Visual Effects","20th Century Fox",1554475,43
"75","National Lampoon's Animal House",1978,0,109,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",3000000,141600000,0,141600000,538564098,"R",1978-07-28,"National Lampoon's Animal House - College",NA,0,0
"76","Days of Heaven",1978,0,NA,"Historical Fiction","Original Screenplay","Live Action","Drama",3000000,3446749,214131,3660880,13109424,NA,1978-09-13,NA,NA,26100,1
"77","Halloween",1978,0,NA,"Fantasy","Original Screenplay","Live Action","Horror",325000,47000000,23000000,7e+07,178760683,NA,1978-10-17,"Halloween - Teenage Slasher",NA,0,0
"78","The Wiz",1978,0,NA,NA,NA,NA,"Musical",24000000,13000000,0,1.3e+07,49444440,NA,1978-10-24,NA,NA,0,0
"79","Superman",1978,0,143,"Super Hero","Based on Comic/Graphic Novel","Live Action","Adventure",55000000,134218018,165981982,300200000,486454927,"PG",1978-12-15,"Superman - Visual Effects","Warner Bros.",7465343,508
"80","Force 10 from Navarone",1978,1,NA,NA,NA,"Live Action","Action",5000000,7100000,0,7100000,27004273,NA,1978-12-22,"Force 10 from Navarone - World War II",NA,0,0
"81","The Deer Hunter",1979,0,NA,NA,"Original Screenplay","Live Action","Drama",15000000,50000000,0,5e+07,177290830,"R",1979-01-01,"The Deer Hunter - Returning Soldiers",NA,0,0
"82","The First Great Train Robbery",1979,0,NA,NA,"Based on Fiction Book/Short Story","Live Action","Action",6000000,391942,0,391942,1389753,NA,1979-02-02,NA,NA,391942,54
"83","Dawn of the Dead",1979,0,126,NA,NA,"Live Action","Horror",1500000,5100000,49900000,5.5e+07,18083661,NA,1979-04-20,"Dawn of the Dead - Zombies",NA,0,0
"84","Alien",1979,0,117,"Science Fiction","Original Screenplay","Live Action","Horror",9000000,80930630,122700000,203630630,286965174,"R",1979-05-25,"Alien - Visual Effects","Twentieth Century Fox",3522581,91
"85","The Prisoner of Zenda",1979,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Comedy",12500000,7000000,0,7e+06,24820712,NA,1979-05-25,"The Prisoner of Zenda - Same Actor, Multiple Roles",NA,2425315,417
"86","Prophecy",1979,0,NA,NA,NA,NA,NA,12000000,22673340,0,22673340,80395507,NA,1979-06-15,"Prophecy - Religious",NA,0,0
"87","Escape from Alcatraz",1979,0,NA,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",8000000,43000000,0,4.3e+07,152470119,"PG",1979-06-22,"Escape from Alcatraz - Prison",NA,5306354,0
"88","The Muppet Movie",1979,0,95,"Kids Fiction","Based on TV","Live Action","Adventure",8000000,76657000,0,76657000,271811669,"G",1979-06-22,"The Muppet Movie - Breaking the Fourth Wall","Jim Henson Productions",0,0
"89","Moonraker",1979,1,126,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",31000000,70300000,140000000,210300000,249270915,"PG",1979-06-29,"Moonraker - Secret Agent",NA,7108344,788
"90","Dolphin",1979,0,NA,"Factual","Based on Real Life Events",NA,"Documentary",170000,14000,0,14000,49635,NA,1979-06-30,NA,NA,0,0
"91","Apocalypse Now",1979,0,153,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Action",31500000,78800000,2450488,81250488,279410356,"R",1979-08-15,"Apocalypse Now - Vietnam War",NA,118558,3
"92","Life of Brian",1979,0,94,"Historical Fiction","Original Screenplay","Live Action","Comedy",4000000,20008693,0,20008693,28971761,"R",1979-08-17,"The Life of Brian - Same Actor, Multiple Roles",NA,140044,5
"93","The Black Stallion",1979,0,118,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",2700000,37799643,0,37799643,134030600,"G",1979-10-17,NA,NA,0,0
"94","Meteor",1979,0,NA,"Science Fiction","Original Screenplay","Live Action","Action",16000000,8400000,0,8400000,29784856,NA,1979-10-19,"Meteor - End of the World",NA,0,0
"95","The Rose",1979,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Drama",8500000,29200000,0,29200000,103537847,NA,1979-11-07,"The Rose - Performing Arts",NA,793063,44
"96","Star Trek: The Motion Picture",1979,0,NA,"Science Fiction","Based on TV","Live Action","Adventure",35000000,82258456,56741544,1.39e+08,291673408,"PG",1979-12-07,"Star Trek: The Motion Picture - Visual Effects",NA,11926421,857
"97","1941",1979,0,116,"Historical Fiction","Original Screenplay","Live Action","Comedy",32000000,34175000,60700000,94875000,121178279,"PG",1979-12-14,"1941 - World War II","A-Team",2701898,325
"98","The Black Hole",1979,0,NA,"Science Fiction","Original Screenplay",NA,NA,20000000,35841901,0,35841901,127088805,NA,1979-12-21,"The Black Hole - Robot",NA,0,0
"99","Maniac",1980,0,NA,NA,NA,NA,NA,350000,10000000,0,1e+07,33085501,NA,1980-01-01,NA,NA,0,0
"100","Lion of the Desert",1980,0,156,"Dramatization","Based on Real Life Events","Live Action","Drama",35000000,1500000,0,1500000,4962818,NA,1980-01-01,NA,NA,0,0
"101","Dressed to Kill",1980,0,104,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",6500000,31899000,0,31899000,105539440,NA,1980-01-01,"Dressed to Kill - Mental Illness",NA,0,0
"102","Terror Train",1980,0,NA,NA,NA,NA,NA,3500000,8000000,0,8e+06,26468395,NA,1980-01-01,NA,NA,0,0
"103","The Fog",1980,0,NA,NA,NA,"Live Action","Horror",1000000,21378361,0,21378361,70731379,NA,1980-02-01,"The Fog - Zombies",NA,0,0
"104","Coal Miner's Daughter",1980,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",15000000,67182787,0,67182787,222277616,"PG",1980-03-07,"Coal Miner's Daughter - Biography",NA,3366443,437
"105","Mad Max",1980,0,93,"Science Fiction",NA,"Live Action","Action",200000,8750000,91000000,99750000,28949813,NA,1980-03-21,"Mad Max - Post Apocalypse",NA,0,0
"106","Friday the 13th",1980,0,NA,"Fantasy","Original Screenplay","Live Action","Horror",550000,39754601,20000000,59754601,131530092,NA,1980-05-09,"Friday the 13th - Teenage Slasher",NA,5816321,1127
"107","Penitentiary",1980,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Drama",100000,287000,0,287000,949550,NA,1980-05-10,"Penitentiary - Prison",NA,0,0
"108","Home Movies",1980,0,NA,NA,NA,NA,NA,400000,89134,0,89134,294902,NA,1980-05-16,NA,NA,0,0
"109","The Long Riders",1980,0,99,"Historical Fiction","Original Screenplay","Live Action","Action",10000000,15198912,0,15198912,50286362,NA,1980-05-16,NA,NA,2351112,759
"110","The Shining",1980,0,146,"Fantasy","Based on Fiction Book/Short Story","Live Action","Horror",19000000,44017374,710853,44728227,145633690,"R",1980-05-23,"The Shining - Writing and Writers",NA,622337,10
"111","Galaxina",1980,0,0,NA,NA,NA,NA,5500000,4865000,0,4865000,15575000,NA,1980-06-06,NA,NA,0,0
"112","The Island",1980,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Adventure",22000000,15716828,0,15716828,51999905,"PG-13",1980-06-13,NA,NA,3123267,584
"113","Can't Stop the Music",1980,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Musical",20000000,2000000,0,2e+06,6617097,NA,1980-06-20,NA,NA,0,0
"114","The Blues Brothers",1980,0,133,"Contemporary Fiction","Original Screenplay","Live Action","Musical",27000000,57229890,0,57229890,189347963,"R",1980-06-20,"The Blues Brothers - Life on the Outside","Universal Pictures",4858152,594
"115","The Blue Lagoon",1980,0,NA,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",4500000,47923795,0,47923795,158558279,"R",1980-06-20,NA,"Columbia Pictures",0,0
"116","Airplane!",1980,0,88,NA,"Original Screenplay","Live Action","Comedy",3500000,83453539,0,83453539,276110218,"PG",1980-07-04,"Airplane! - Spoof",NA,0,0
"117","Caddyshack",1980,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",6000000,39846344,0,39846344,131833626,NA,1980-07-25,"Caddyshack - Golf",NA,3142689,656
"118","Raise the Titanic",1980,0,NA,NA,NA,NA,NA,40000000,7000000,0,7e+06,23159847,"PG",1980-08-01,NA,NA,0,0
"119","Ordinary People",1980,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",6000000,52302978,0,52302978,173047025,"R",1980-09-19,"Ordinary People - Dysfunctional Family",NA,170335,6
"120","The Elephant Man",1980,0,NA,NA,NA,NA,NA,5000000,26010864,0,26010864,86058247,NA,1980-10-03,"The Elephant Man - 1880s",NA,0,0
"121","Somewhere in Time",1980,0,NA,"Fantasy","Based on Fiction Book/Short Story","Live Action","Drama",5100000,9709597,0,9709597,32124684,NA,1980-10-03,"Somewhere in Time - Time Travel",NA,1203011,369
"122","Private Benjamin",1980,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",15000000,69847348,0,69847348,231093448,"R",1980-10-10,"Private Benjamin - Military Life",NA,4739769,763
"123","Raging Bull",1980,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",18000000,23380203,0,23380203,74967797,"Not Rated",1980-11-14,"Raging Bull - Biography",NA,128590,4
"124","Heaven's Gate",1980,0,NA,NA,NA,NA,NA,44000000,3484331,192,3484523,11528081,NA,1980-11-19,NA,NA,0,0
"125","Flash Gordon",1980,0,NA,"Science Fiction","Based on Comic/Graphic Novel","Live Action","Action",35000000,27107960,0,27107960,89688041,NA,1980-12-05,NA,NA,3934030,823
"126","Popeye",1980,0,NA,NA,"Based on Comic/Graphic Novel",NA,NA,20000000,49823037,0,49823037,164842018,"PG",1980-12-12,"Popeye - Live Action Cartoon",NA,0,0
"127","Roar",1981,0,102,"Contemporary Fiction","Original Screenplay","Live Action","Adventure",17000000,2110050,0,2110050,2227688,"PG",1981-01-01,"Roar - Development Hell","John Marshall",0,0
"128","Sphinx",1981,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",10000000,2000000,9400000,11400000,6402874,NA,1981-02-11,NA,NA,439564,214
"129","The Postman Always Rings Twice",1981,0,NA,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",12000000,12200000,32000000,44200000,39057552,NA,1981-03-20,"The Postman Always Rings Twice - Film Noir",NA,0,0
"130","Nighthawks",1981,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",5000000,14600000,5000000,19600000,46741002,NA,1981-04-10,"Nighthawks - Terrorism",NA,2525360,659
"131","The Howling",1981,0,91,"Fantasy","Original Screenplay","Live Action","Horror",1000000,17985000,0,17985000,57577874,NA,1981-04-10,NA,NA,0,0
"132","Friday the 13th Part 2",1981,0,NA,NA,NA,"Live Action","Horror",1250000,21722776,0,21722776,69544137,NA,1981-04-30,"Friday the 13th Part 2 - Teenage Slasher",NA,6429784,1350
"133","Graduation Day",1981,0,NA,NA,NA,NA,"Thriller/Suspense",250000,23894000,0,23894000,76495180,NA,1981-05-01,NA,NA,0,0
"134","The Four Seasons",1981,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",6500000,42488161,0,42488161,136023248,"PG",1981-05-22,NA,NA,4128525,623
"135","The Legend of the Lone Ranger",1981,0,100,"Historical Fiction","Based on TV","Live Action","Western",18000000,13400000,0,13400000,42899273,"PG",1981-05-22,NA,NA,2700000,980
"136","History of the World: Part I",1981,0,NA,"Historical Fiction","Original Screenplay","Live Action","Comedy",11000000,31672000,0,31672000,101395965,NA,1981-06-12,"History of the World: Part I - Same Actor, Multiple Roles",NA,4892731,484
"137","Clash of the Titans",1981,0,NA,"Fantasy","Based on Folk Tale/Legend/Fairytale","Live Action","Adventure",15000000,30000000,14400000,44400000,96043157,NA,1981-06-12,NA,NA,6580742,0
"138","Raiders of the Lost Ark",1981,0,115,"Historical Fiction","Original Screenplay","Live Action","Adventure",20000000,248159971,141766000,389925971,747889143,"PG",1981-06-12,"Raiders of the Lost Ark - Treasure Hunters","Lucasfilm",8305823,1078
"139","Superman II",1981,1,127,"Super Hero","Based on Comic/Graphic Novel","Live Action","Adventure",54000000,108185706,0,108185706,346349917,"PG",1981-06-19,"Superman II - D.C. Comics",NA,14100523,1395
"140","Dragonslayer",1981,0,NA,"Fantasy","Original Screenplay","Live Action","Action",18000000,6000000,0,6e+06,19208630,NA,1981-06-26,"Dragonslayer - Dragon",NA,2407939,868
"141","Stripes",1981,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",10000000,85300000,0,85300000,273082732,"R",1981-06-26,"Stripes - Military Life",NA,6152166,1074
"142","For Your Eyes Only",1981,1,127,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Action",28000000,54800000,140500000,195300000,175438847,"PG",1981-06-26,"For Your Eyes Only - Secret Agent",NA,6834967,952
"143","Escape from New York",1981,0,98,"Science Fiction","Original Screenplay","Live Action","Action",6000000,25244700,0,25244700,80819360,"R",1981-07-10,"Escape from New York - Hostage",NA,4162385,579
"144","Blow Out",1981,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",18000000,13747234,0,13747234,44010927,NA,1981-07-24,NA,NA,3000000,708
"145","Under the Rainbow",1981,0,NA,"Historical Fiction","Original Screenplay","Live Action","Comedy",20000000,18826490,0,18826490,60271850,NA,1981-07-31,NA,NA,2287205,488
"146","Star Wars Ep. V: The Empire Strikes Back",1980,1,124,"Science Fiction","Original Screenplay","Live Action","Adventure",23000000,290271960,243900000,534171960,859720198,"PG",1981-07-31,"Star Wars Ep. V: The Empire Strikes Back - Visual Effects","Lucasfilm",4910483,126
"147","Gallipoli",1981,0,NA,NA,NA,NA,NA,3000000,5732587,0,5732587,18352521,NA,1981-08-28,"Gallipoli - Historical Battles",NA,59757,2
"148","Mommie Dearest",1981,0,NA,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",5000000,19032000,6000000,25032000,60929783,NA,1981-09-18,"Mommie Dearest - Biography",NA,905920,85
"149","Chariots of Fire",1981,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",5500000,57159946,307785,57467731,173782477,"PG",1981-09-25,"Chariots of Fire - Biography",NA,68907,3
