"","Title","Prod_year","Is_sequel","Run_time","Creative_type","Source","Prod_method","Genre","Prod_budget","Dom_BO","Intl_BO","Total_BO","Infl_Adj_Dom_BO","MPAA_rating","Rel_date_TH","Keywords","Prod_company","Opening_rev","Opening_theaters"
"2784","3:10 to Yuma",2007,0,122,"Historical Fiction","Remake","Live Action","Western",48000000,53606916,17564909,71171825,69346148,"R",2007-09-07,"3:10 to Yuma - Gangs","Relativity Media",14035033,2652
"2785","Romance and Cigarettes",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",11000000,551002,2680249,3231251,710754,"R",2007-09-07,NA,NA,18445,1
"2786","The Brothers Solomon",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",10000000,900926,0,900926,1165437,"R",2007-09-07,"The Brothers Solomon - Delayed Adulthood","Revolution Studios",508601,700
"2787","In the Valley of Elah",2007,0,121,"Dramatization","Based on Real Life Events","Live Action","Drama",23000000,6777741,17711409,24489150,8767034,"R",2007-09-14,NA,"Warner Independent Pictures",133557,9
"2788","Dragon Wars: D-War",2007,0,90,"Fantasy","Based on Folk Tale/Legend/Fairytale","Live Action","Action",32000000,10977721,68937640,79915361,14200822,"PG-13",2007-09-14,"D-War - Creature Features",NA,5041239,2269
"2789","King of California",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Drama",10000000,268461,896641,1165102,347278,"PG-13",2007-09-14,NA,NA,35814,5
"2790","Ira and Abby",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",3500000,221096,0,221096,286010,"R",2007-09-14,"Ira and Abby - Relationship Advice",NA,36938,7
"2791","Eastern Promises",2007,0,100,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",50000000,17181265,38895823,56077088,22225756,"R",2007-09-14,"Eastern Promises - Organized Crime",NA,547092,15
"2792","Across the Universe",2007,0,133,"Historical Fiction","Original Screenplay","Live Action","Musical",45000000,24343673,5023470,29367143,31491084,"PG-13",2007-09-14,"Across the Universe - Vietnam War","Revolution Studios",667784,23
"2793","Sydney White",2007,0,108,"Contemporary Fiction","Based on Folk Tale/Legend/Fairytale","Live Action","Comedy",16500000,11892415,1743924,13636339,15384077,"PG-13",2007-09-21,"Sydney White - College",NA,5196380,2104
"2794","Resident Evil: Extinction",2007,1,95,"Science Fiction","Based on Game","Live Action","Action",45000000,50648679,95514241,146162920,65519361,"R",2007-09-21,"Resident Evil: Extinction - Post Apocalypse",NA,23678580,2828
"2795","The Assassination of Jesse James by the Coward Robert Ford",2007,0,160,"Dramatization","Based on Fiction Book/Short Story","Live Action","Western",30000000,3909149,11404482,15313631,5055245,"R",2007-09-21,NA,"JJ Pictures",147812,5
"2796","Good Luck Chuck",2007,0,95,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",25000000,35017297,24166524,59183821,45298535,"R",2007-09-21,"Good Luck Chuck - Romance",NA,13652001,2612
